32
190.412 464.045
210.266 467.978
375.486 452.809
245.607 405.618
445.714 405.056
425.311 389.888
155.411 342.697
75.469 337.079
45.3808 294.944
115.13 301.124
305.049 305.618
360.827 290.449
330.772 279.775
255.111 263.483
210.047 263.483
199.837 248.315
155.309 248.315
264.712 211.236
114.994 174.157
179.891 158.427
105.298 137.64
109.567 116.854
155.072 26.9663
224.815 27.5281
265.107 79.7753
334.788 22.4719
400.289 69.1011
394.987 127.528
375.17 158.427
364.988 169.101
425.069 164.045
445.455 164.045
